STATE,District Name,Commodity,Modal_Price,Date,Price_per_kg,Price_display
Madhya Pradesh,bhopal,Onion,759.5762711864406,31-May-2025,7.6,₹ 7.6 / kg
Madhya Pradesh,bhopal,Potato,723.8095238095239,31-May-2025,7.24,₹ 7.24 / kg
Madhya Pradesh,chhindwara,Potato,2775.0,31-Jan-2025,27.75,₹ 27.75 / kg
Madhya Pradesh,dewas,Onion,731.448275862069,31-May-2025,7.31,₹ 7.31 / kg
Madhya Pradesh,dewas,Potato,1342.3076923076924,31-May-2025,13.42,₹ 13.42 / kg
Madhya Pradesh,dhar,Onion,625.7727272727273,31-May-2025,6.26,₹ 6.26 / kg
Madhya Pradesh,dhar,Potato,1042.6444444444444,31-May-2025,10.43,₹ 10.43 / kg
Madhya Pradesh,guna,Onion,600.0,31-May-2025,6.0,₹ 6.0 / kg
Madhya Pradesh,gwalior,Onion,929.4117647058824,31-May-2025,9.29,₹ 9.29 / kg
Madhya Pradesh,gwalior,Potato,1415.7894736842106,31-May-2025,14.16,₹ 14.16 / kg
Madhya Pradesh,harda,Onion,980.0,31-May-2025,9.8,₹ 9.8 / kg
Madhya Pradesh,harda,Potato,1500.0,31-May-2025,15.0,₹ 15.0 / kg
Madhya Pradesh,hoshangabad,Onion,1318.974358974359,31-May-2025,13.19,₹ 13.19 / kg
Madhya Pradesh,hoshangabad,Potato,1373.4594594594594,31-May-2025,13.73,₹ 13.73 / kg
Madhya Pradesh,indore,Onion,846.6516129032258,31-May-2025,8.47,₹ 8.47 / kg
Madhya Pradesh,indore,Potato,1302.0121951219512,31-May-2025,13.02,₹ 13.02 / kg
Madhya Pradesh,jabalpur,Onion,1634.6153846153843,31-May-2025,16.35,₹ 16.35 / kg
Madhya Pradesh,jabalpur,Potato,1362.5,31-May-2025,13.62,₹ 13.62 / kg
Madhya Pradesh,jhabua,Onion,1352.7407407407406,31-May-2025,13.53,₹ 13.53 / kg
Madhya Pradesh,jhabua,Potato,1213.04,31-May-2025,12.13,₹ 12.13 / kg
Madhya Pradesh,katni,Onion,2225.0,31-Mar-2025,22.25,₹ 22.25 / kg
Madhya Pradesh,katni,Potato,980.6666666666666,31-May-2025,9.81,₹ 9.81 / kg
Madhya Pradesh,khandwa,Onion,876.4038461538462,31-May-2025,8.76,₹ 8.76 / kg
Madhya Pradesh,khandwa,Potato,911.1111111111112,31-May-2025,9.11,₹ 9.11 / kg
Madhya Pradesh,mandsaur,Onion,485.3958333333333,31-May-2025,4.85,₹ 4.85 / kg
Madhya Pradesh,morena,Onion,750.5434782608696,31-May-2025,7.51,₹ 7.51 / kg
Madhya Pradesh,morena,Potato,761.0,31-May-2025,7.61,₹ 7.61 / kg
Madhya Pradesh,neemuch,Onion,537.7380952380952,31-May-2025,5.38,₹ 5.38 / kg
Madhya Pradesh,rajgarh,Onion,538.2142857142857,31-May-2025,5.38,₹ 5.38 / kg
Madhya Pradesh,rajgarh,Potato,833.3333333333334,31-Jan-2025,8.33,₹ 8.33 / kg
Madhya Pradesh,ratlam,Onion,642.4631578947368,31-May-2025,6.42,₹ 6.42 / kg
Madhya Pradesh,rewa,Potato,912.5,31-May-2025,9.12,₹ 9.12 / kg
Madhya Pradesh,sagar,Onion,865.5961538461538,31-May-2025,8.66,₹ 8.66 / kg
Madhya Pradesh,sagar,Potato,1093.0,31-May-2025,10.93,₹ 10.93 / kg
Madhya Pradesh,satna,Onion,750.0,31-May-2025,7.5,₹ 7.5 / kg
Madhya Pradesh,satna,Potato,1100.0,30-Jun-2025,11.0,₹ 11.0 / kg
Madhya Pradesh,shajapur,Onion,591.9698275862069,31-May-2025,5.92,₹ 5.92 / kg
Madhya Pradesh,shajapur,Potato,922.7428571428572,31-May-2025,9.23,₹ 9.23 / kg
Madhya Pradesh,sheopur,Potato,1637.5,31-May-2025,16.38,₹ 16.38 / kg
Madhya Pradesh,shivpuri,Onion,663.6538461538462,31-May-2025,6.64,₹ 6.64 / kg
Madhya Pradesh,shivpuri,Potato,1300.0,31-May-2025,13.0,₹ 13.0 / kg
Madhya Pradesh,ujjain,Onion,495.2307692307692,31-May-2025,4.95,₹ 4.95 / kg
Madhya Pradesh,ujjain,Potato,1384.5151515151515,31-May-2025,13.85,₹ 13.85 / kg
Maharashtra,ahmednagar,Onion,899.9126213592233,31-May-2025,9.0,₹ 9.0 / kg
Maharashtra,ahmednagar,Potato,1644.2028985507247,31-May-2025,16.44,₹ 16.44 / kg
Maharashtra,akola,Onion,1017.391304347826,31-May-2025,10.17,₹ 10.17 / kg
Maharashtra,akola,Potato,1545.4545454545455,31-May-2025,15.45,₹ 15.45 / kg
Maharashtra,amarawati,Onion,979.1666666666666,31-May-2025,9.79,₹ 9.79 / kg
Maharashtra,amarawati,Potato,1570.8333333333333,31-May-2025,15.71,₹ 15.71 / kg
Maharashtra,beed,Onion,1025.0,31-May-2025,10.25,₹ 10.25 / kg
Maharashtra,bhandara,Rice,4120.434782608696,31-May-2025,41.2,₹ 41.2 / kg
Maharashtra,chandrapur,Onion,1330.952380952381,31-May-2025,13.31,₹ 13.31 / kg
Maharashtra,chandrapur,Potato,1825.0,31-May-2025,18.25,₹ 18.25 / kg
Maharashtra,dhule,Onion,809.2857142857143,31-May-2025,8.09,₹ 8.09 / kg
Maharashtra,dhule,Rice,4400.0,30-Apr-2025,44.0,₹ 44.0 / kg
