STATE,District Name,Commodity,Date,Modal_Price
Gujarat,bhavnagar,Potato,28-02-2025,2344.1176470588234
Gujarat,bhavnagar,Potato,31-03-2025,1971.1538461538464
Gujarat,bhavnagar,Potato,30-04-2025,2071.590909090909
Gujarat,bhavnagar,Potato,31-05-2025,2322.5
Gujarat,bhavnagar,Potato,30-06-2025,2225.0
Gujarat,dahod,Onion,28-02-2025,2560.8695652173915
Gujarat,dahod,Onion,31-03-2025,1837.5
Gujarat,dahod,Onion,30-04-2025,1027.5862068965516
Gujarat,dahod,Onion,31-05-2025,1116.1290322580646
Gujarat,dahod,Onion,30-06-2025,970.0
Gujarat,dahod,Potato,31-01-2025,1533.3333333333333
Gujarat,dahod,Potato,28-02-2025,1164.2857142857142
Gujarat,dahod,Potato,31-03-2025,1110.0
Gujarat,dahod,Potato,30-04-2025,1210.344827586207
Gujarat,dahod,Potato,31-05-2025,1306.451612903226
Gujarat,dahod,Potato,30-06-2025,1418.1818181818182
Gujarat,dahod,Rice,30-04-2025,5524.705882352941
Gujarat,dahod,Rice,31-05-2025,5505.769230769231
Gujarat,dahod,Rice,30-06-2025,5480.0
Gujarat,gandhinagar,Potato,28-02-2025,1033.3333333333333
Gujarat,gandhinagar,Potato,31-03-2025,1000.0
Gujarat,gandhinagar,Potato,30-04-2025,1500.0
Gujarat,jamnagar,Onion,28-02-2025,2036.9473684210527
Gujarat,jamnagar,Onion,31-03-2025,1559.857142857143
Gujarat,jamnagar,Onion,30-04-2025,846.1363636363636
Gujarat,jamnagar,Onion,31-05-2025,718.1818181818181
Gujarat,jamnagar,Onion,30-06-2025,807.8571428571429
Gujarat,kheda,Onion,28-02-2025,1502.5
Gujarat,kheda,Onion,31-03-2025,1681.3333333333333
Gujarat,kheda,Onion,30-04-2025,1493.0
Gujarat,kheda,Onion,31-05-2025,1338.2183908045977
Gujarat,kheda,Onion,30-06-2025,1424.107142857143
Gujarat,kheda,Potato,31-01-2025,1907.720588235294
Gujarat,kheda,Potato,28-02-2025,1112.116564417178
Gujarat,kheda,Potato,31-03-2025,984.4632768361582
Gujarat,kheda,Potato,30-04-2025,1075.6936416184972
Gujarat,kheda,Potato,31-05-2025,1177.871794871795
Gujarat,kheda,Potato,30-06-2025,1151.953125
Gujarat,navsari,Onion,28-02-2025,2505.0
Gujarat,navsari,Onion,31-03-2025,2096.774193548388
Gujarat,navsari,Onion,30-04-2025,1450.0
Gujarat,navsari,Onion,31-05-2025,1337.9310344827586
Gujarat,navsari,Onion,30-06-2025,1200.0
Gujarat,navsari,Potato,31-01-2025,2240.686274509804
Gujarat,navsari,Potato,28-02-2025,1536.4130434782608
Gujarat,navsari,Potato,31-03-2025,1478.0172413793102
Gujarat,navsari,Potato,30-04-2025,1559.2105263157894
Gujarat,navsari,Potato,31-05-2025,1666.5254237288136
Gujarat,navsari,Potato,30-06-2025,1678.409090909091
Gujarat,porbandar,Onion,28-02-2025,2263.157894736842
Gujarat,porbandar,Onion,31-03-2025,2065.217391304348
Gujarat,porbandar,Onion,30-04-2025,1096.1538461538462
Gujarat,porbandar,Onion,31-05-2025,1160.0
Gujarat,porbandar,Onion,30-06-2025,1250.0
Gujarat,porbandar,Potato,31-01-2025,2069.4444444444443
Gujarat,porbandar,Potato,28-02-2025,1391.304347826087
Gujarat,porbandar,Potato,31-03-2025,1284.090909090909
Gujarat,porbandar,Potato,30-04-2025,1280.7692307692307
Gujarat,porbandar,Potato,31-05-2025,1466.3461538461538
Gujarat,porbandar,Potato,30-06-2025,1500.0
Gujarat,rajkot,Onion,28-02-2025,1879.1463414634147
Gujarat,rajkot,Onion,31-03-2025,1372.9166666666667
Gujarat,rajkot,Onion,30-04-2025,733.3734939759037
Gujarat,rajkot,Onion,31-05-2025,673.6111111111111
Gujarat,rajkot,Onion,30-06-2025,773.0
Gujarat,rajkot,Potato,31-01-2025,988.96
Gujarat,rajkot,Potato,28-02-2025,662.6041666666666
Gujarat,rajkot,Potato,31-03-2025,576.4150943396227
Gujarat,rajkot,Potato,30-04-2025,718.3018867924528
Gujarat,rajkot,Potato,31-05-2025,803.0357142857143
Gujarat,rajkot,Potato,30-06-2025,732.7777777777778
Gujarat,surat,Onion,28-02-2025,2028.409090909091
Gujarat,surat,Onion,31-03-2025,1822.9166666666667
Gujarat,surat,Onion,30-04-2025,1225.9615384615386
Gujarat,surat,Onion,31-05-2025,1235.0
Gujarat,surat,Onion,30-06-2025,1168.75
Gujarat,surat,Potato,31-01-2025,1804.5454545454545
Gujarat,surat,Potato,28-02-2025,1260.625
Gujarat,surat,Potato,31-03-2025,1123.0
Gujarat,surat,Potato,30-04-2025,1099.0384615384614
Gujarat,surat,Potato,31-05-2025,1335.0
Gujarat,surat,Potato,30-06-2025,1318.75
Gujarat,surendranagar,Onion,28-02-2025,2687.5
Gujarat,surendranagar,Onion,31-03-2025,2200.0
Gujarat,surendranagar,Onion,30-04-2025,1500.0
Gujarat,surendranagar,Onion,31-05-2025,1250.0
Gujarat,surendranagar,Potato,31-01-2025,2364.583333333333
Gujarat,surendranagar,Potato,28-02-2025,1650.0
Gujarat,surendranagar,Potato,31-03-2025,1409.090909090909
Gujarat,surendranagar,Potato,30-04-2025,1404.7619047619048
Gujarat,surendranagar,Potato,31-05-2025,1593.75
Gujarat,surendranagar,Potato,30-06-2025,1750.0
Haryana,ambala,Onion,28-02-2025,2125.657894736842
Haryana,ambala,Onion,31-03-2025,1844.7916666666667
Haryana,ambala,Onion,30-04-2025,1267.7835051546392
Haryana,ambala,Onion,31-05-2025,955.9444444444443
Haryana,ambala,Onion,30-06-2025,995.625
Haryana,ambala,Potato,31-01-2025,984.0384615384615
Haryana,ambala,Potato,28-02-2025,567.7717391304348
Haryana,ambala,Potato,31-03-2025,613.6274509803922
Haryana,ambala,Potato,30-04-2025,642.0103092783505
Haryana,ambala,Potato,31-05-2025,752.7333333333333
Haryana,ambala,Potato,30-06-2025,793.2258064516129
Haryana,bhiwani,Onion,28-02-2025,2374.3214285714284
Haryana,bhiwani,Onion,31-03-2025,1816.4
Haryana,bhiwani,Onion,30-04-2025,1089.2857142857142
Haryana,bhiwani,Onion,31-05-2025,964.3214285714286
Haryana,bhiwani,Onion,30-06-2025,1053.6923076923076
Haryana,bhiwani,Potato,31-01-2025,1349.9056603773586
Haryana,bhiwani,Potato,28-02-2025,1075.25
Haryana,bhiwani,Potato,31-03-2025,999.5945945945946
Haryana,bhiwani,Potato,30-04-2025,900.0
Haryana,bhiwani,Potato,31-05-2025,1088.3333333333333
Haryana,bhiwani,Potato,30-06-2025,1271.4615384615386
Haryana,faridabad,Onion,28-02-2025,2407.575757575757
Haryana,faridabad,Onion,31-03-2025,1840.7894736842104
Haryana,faridabad,Onion,30-04-2025,1386.842105263158
Haryana,faridabad,Onion,31-05-2025,1148.809523809524
Haryana,faridabad,Onion,30-06-2025,1095.8333333333333
Haryana,faridabad,Potato,31-01-2025,1084.7826086956522
